name;WoSline;author;title;journal;year
FRITZ_B(2020)24:227;1663;Fritz, B; Sports Imaging of Team Handball Injuries;SEMIN MUSCULOSKEL R;2020
COJOCARU_V(2015):287;1813;Cojocaru, V; Somatic Characteristics of the Wing Female Player from the Romanian Handball League;*****;2015
OXYZOGLO_N(2009)108:873;1872;Oxyzoglou, N; VELOCITY, AGILITY, AND FLEXIBILITY PERFORMANCE AFTER HANDBALL TRAINING VERSUS PHYSICAL EDUCATION PROGRAM FOR PREADOLESCENT CHILDREN;PERCEPT MOTOR SKILL;2009
BUCHHEIT_A(2009)12:399;1939;Buchheit, A; Cardiorespiratory responses during running and sport-specific exercises in handball players;J SCI MED SPORT;2009
TSORBATZ_H(2005)100:821;2028;Tsorbatzoudis, H; Sources of stress among Greek team handball referees: Construction and validation of the handball officials sources of stress survey;PERCEPT MOTOR SKILL;2005
VISNAPUU_M(2008)66:225;2115;Visnapuu, M; The influence of basic body and hand anthropometry on the results of different throwing tests in young handball and basketball players;ANTHROPOL ANZ;2008
HANGGI_J(2015)10:0124222;2183;Hanggi, J; Structural Brain Correlates Associated with Professional Handball Playing;PLOS ONE;2015
GHOBADI_H(2013)39:213;2346;Ghobadi, H; Anthropometry of World-Class Elite Handball Players According to the Playing Position: Reports From Men's Handball World Championship 2013;J HUM KINET;2013
SANTIAGO_C(2011):761;2422;Santiago, CB; Foundations for Creating a Handball Sport Simulator;*****;2011
L'HERMET_M(2006)40:45;2491;L'Hermette, M; Hip passive range of motion and frequency of radiographic hip osteoarthritis in former elite handball players;BRIT J SPORT MED;2006
SAAVEDRA_J(2018)63:5;2577;Saavedra, JM; Handball Research: State of the Art;J HUM KINET;2018
RUHLEMAN_A(2019)33:87;2643;Ruhlemann, A; Functional Knee Stability in Handball: An Indispensable Criterion For Safe Sport;SPORTVERLETZ SPORTSC;2019
PETKOVIC_E(2019)36:316;2775;Petkovic, E; Position-Related Somatotype of Elite Female Handball Players;ACTA FAC MEDICAE NAI;2019
SPORIS_G(2014):436;2866;Sporis, G; A COMPARISON OF ANAEROBIC ENDURANCE CAPACITY IN ELITE SOCCER, HANDBALL AND BASKETBALL PLAYERS;*****;2014
FASOLD_F(2020)15:283;2919;Fasold, F; Personality traits of handball goalkeepers;J HUM SPORT EXERC;2020
D'ANGELO_C(2021)19:S377;3002;D'angelo, C; Challenges and career transitions of the italian handball player. a qualitative study;INT J SPORT EXERC PS;2021
L'HERMET_M(2003)44:323;3045;L'Hermette, M; Coxarthrosis and mechanical loads in handball playing;J HUM MOVEMENT STUD;2003
BONETTI_L(2019)34:E119;3120;Bonetti, LV; Isokinetic performance of shoulder external and internal rotators in adolescent female handball athletes;SCI SPORT;2019
VLAK_T(2004)45:526;3218;Vlak, T; Handball: The beauty or the beast;CROAT MED J;2004
MARQUES_M(2010)32:74;3281;Marques, MC; In-Season Strength and Power Training for Professional Male Team Handball Players;STRENGTH COND J;2010
LINDBLAD_B(1992)20:441;3366;LINDBLAD, BE; HANDBALL INJURIES - AN EPIDEMIOLOGIC AND SOCIOECONOMIC STUDY;AM J SPORT MED;1992
MORILLO_J(2017)8:01842;3413;Morillo, JP; Decision-Making by Handball Referees: Design of an ad hoc Observation Instrument and Polar Coordinate Analysis;FRONT PSYCHOL;2017
RASCHKA_C(2007)65:303;3542;Raschka, C; Comparison of somatotype differences of soccer and handball players based on the methods of German and Anglo-American schools of constitutional biology;ANTHROPOL ANZ;2007
VARZARU_C(2016)11:410;3611;Varzaru, CG; Analysis of the Romanian National Handball Team Game at the Hungary/Croatia EHF Euro 2014;EUR PROC SOC BEHAV;2016
ACHENBAC_L(2020)34:129;3666;Achenbach, L; Epidemiology and injury prevention in handball;SPORTVERLETZ SPORTSC;2020
PONTAGA_I(2018):211;3765;Pontaga, I; COMPARISON OF LATVIAN QUALIFIED BASKETBALL AND HANDBALL PLAYERS PERFORMANCE;SABIED INTEGR IZGL;2018
HATZIMAN_D(2017)12:689;3843;Hatzimanouil, D; Injuries in elite athletes of beach handball;J HUM SPORT EXERC;2017
KRIECHBA_N(1998)38:227;3917;Kriechbaumer, N; Sensitization to ethyl chloride in a handball player;CONTACT DERMATITIS;1998
ANDRES_S(2018)24:527;3970;Andres, SD; FEMALE HANDBALL PLAYERS' SPORTS HISTORIES AND NARRATIVES ABOUT BEING PROFESSIONALS;MOVIMENTO-PORTO ALEG;2018
GARCIA-S_D(2017)13:207;4049;Garcia-Santos, D; A case study: characterization of physiological, cinematic and neuromuscular demands of handball referee during competition;E-BALONMANO COM;2017
GRUIC_I(2011):524;4136;Gruic, I; SITUATIONAL EFFICIENCY OF TEAMS IN FEMALE PART OF TOURNAMENT IN THE WORLD BEACH HANDBALL CHAMPIONSHIP IN CADIZ;*****;2011
SALIH_M(2021)9:953;4197;Salih, MMM; Forecasting Achievement Sports through Cooperative Learning in Handball Training in Physical Education;ANN APPL SPORT SCI;2021
DASILVA_N(2011)17:123;4290;da Silva, NL; Handball practice in physical and sports culture of elementary school students in Rio de Janeiro;MOVIMENTO-PORTO ALEG;2011
CARDINAL_M(2018):280;4367;Cardinale, M; HANDBALL;ROUT INT HANDB;2018
MOLLER_M(2017)51:231;4495;Moller, M; Handball load and shoulder injury rate: a 31-week cohort study of 679 elite youth handball players;BRIT J SPORT MED;2017
ACHENBAC_L(2018)26:1909;4598;Achenbach, L; Beach handball is safer than indoor team handball: injury rates during the 2017 European Beach Handball Championships;KNEE SURG SPORT TR A;2018
TYRDAL_S(1996)6:297;4679;Tyrdal, S; High prevalence of elbow problems among goalkeepers in European team handball - 'Handball goalie's elbow';SCAND J MED SCI SPOR;1996
AMATRIA_M(2020)20:227;4748;Amatria, M; OFFENSIVE EFFECTIVENESS IN FEMALE ELITE HANDBALL IN NUMERICAL SUPERIORITY SITUATIONS;REV INT MED CIENC AC;2020
PUERTO_J(2018)14:109;4877;Puerto, JMG; Proposal for adaptation of the handball regulations for player with intelectual disability;E-BALONMANO COM;2018
BJORNDAL_C(2017)22:864;4947;Bjorndal, CT; Talent development as an ecology of games: a case study of Norwegian handball;SPORT EDUC SOC;2017
FRUCHART_E(2010)60:27;5036;Fruchart, E; Decision-making in basketball and handball games: A developmental perspective;EUR REV APPL PSYCHOL;2010
ELAOUD_A(2020)11:419;5108;Elaoud, A; Skeleton-based comparison of throwing motion for handball players;J AMB INTEL HUM COMP;2020
TUNAS_P(2015)23:2540;5219;Tunas, P; Low back pain in female elite football and handball players compared with an active control group;KNEE SURG SPORT TR A;2015
RASIDAGI_F(2011):300;5312;Rasidagic, F; INFLUENCE OF MOTOR ABILITIES ON SUCCESSFUL PERFORAMANCE OF HANDBALL ELEMENTS IN THE TEACHING OF SPORT AND PHYSICAL EDUCATION;*****;2011
TEODOR_C(2013)84:1350;5366;Teodor, CI; The importance of the psychological training in increasing the performance in handball;PROCD SOC BEHV;2013
SPASIC_M(2015)14:501;5420;Spasic, M;" Reactive Agility Performance in Handball; Development and Evaluation of a Sport-Specific Measurement Protocol";J SPORT SCI MED;2015
VANDEN_T(2012)30:807;5504;VANDEN, T; Gender differences in the kinematics and ball velocity of overarm throwing in elite team handball players;J SPORT SCI;2012
GRUIC_I(2017):149;5578;Gruic, I; PEDOBAROGRAPHIC ASSESSMENT OF MALE HANDBALL PLAYERS' GAIT;*****;2017
BARRAZA_F(2015)33:1093;5646;Barraza, F; Anthropometric Profile in Chilean Handball Players According to Playing Position;INT J MORPHOL;2015
AGERGAAR_S(2008)43:5;5723;Agergaard, S; ELITE ATHLETES AS MIGRANTS IN DANISH WOMEN'S HANDBALL;INT REV SOCIOL SPORT;2008
LANGEVOO_G(2007)17:400;5795;Langevoort, G; Handball injuries during major international tournaments;SCAND J MED SCI SPOR;2007
VILA_H(2019)19:724;5875;Vila, H; Throwing speed in team handball: a systematic review;INT J PERF ANAL SPOR;2019
EKENGREN_J(2020)18:156;5991;Ekengren, J; Exploring career experiences of Swedish professional handball players: Consolidating first-hand information into an empirical career model;INT J SPORT EXERC PS;2020
EKENGREN_J(2021)19:S231;6103;Ekengren, J; Preparing the swedish men's handball team for three consecutive olympic games: a sport psychology practitioner's reflections;INT J SPORT EXERC PS;2021
WAGNER_H(2014)13:808;6142;Wagner, H; Individual and Team Performance in Team-Handball: A Review;J SPORT SCI MED;2014
IVASIC-K_M(2019):;6266;Ivasic-Kos, M; Active Player Detection in Handball Videos Using Optical Flow and STIPs Based Measures;*****;2019
ZEBIS_M(2011)21:833;6347;Zebis, MK; Acute fatigue impairs neuromuscular activity of anterior cruciate ligament-agonist muscles in female team handball players;SCAND J MED SCI SPOR;2011
SOLOVEY_O(2020)24:36;6456;Solovey, O; Analysis and generalization of competitive activity results of handball clubs in the game development aspect;PEDAGOG PHYS CULT SP;2020
OXYZOGLO_N(2007)104:1282;6565;Oxyzoglou, N; Muscular strength and jumping performance after handball training versus physical education program for pre-adolescent children;PERCEPT MOTOR SKILL;2007
FRADET_L(2004)22:439;6639;Fradet, L; Do handball throws always exhibit a proximal-to-distal segmental sequence?;J SPORT SCI;2004
ION_M(2015)180:1263;6723;Ion, M; Ways to Optimize the General Physical Training at the Junior Handball Teams;PROCD SOC BEHV;2015
MENEZES_R(2020)9:87;6786;Menezes, RP; Handball training in u-21 and adult teams: differences and similarities;SPORT TK;2020
MANCHADO_C(2013)27:1708;6867;Manchado, C; Performance Factors in Women's Team Handball: Physical and Physiological AspectsA Review;J STRENGTH COND RES;2013
ERSOY_A(2021)13:15;6982;Ersoy, A; THE RELATIONSHIP BETWEEN SELF RESPECT AND LIFE SKILLS OF HANDBALL PLAYERS TAKING INFRASTRUCTURE TRAINING IN HANDBALL;LEX HUMANA;2021
KELLY_L(2001)9:115;7063;Kelly, L; Team handball: Shoulder injuries, rehabilitation, and training;SPORTS MED ARTHROSC;2001
HINOJOSA_C(2021)13:1;7134;Hinojosa-Torres, C; DIDACTIC AND METHODOLOGIC STRATEGIES OF THE SCHOOL HANDBALL TRAINING PROCESS: A SYSTEMATIC REVIEW;J SPORT HEALTH RES;2021
ACHENBAC_L(2018)26:1901;7229;Achenbach, L; Neuromuscular exercises prevent severe knee injury in adolescent team handball players;KNEE SURG SPORT TR A;2018
BENCKE_J(2013)21:1876;7331;Bencke, J; Biomechanical evaluation of the side-cutting manoeuvre associated with ACL injury in young female handball players;KNEE SURG SPORT TR A;2013
LUIG_P(2018)26:1884;7416;Luig, P; Increased injury rates after the restructure of Germany's national second league of team handball;KNEE SURG SPORT TR A;2018
PETRO_B(2021)239:1531;7511;Petro, B; Automatic detection of peripheral stimuli in shooters and handball players: an event-related potential study;EXP BRAIN RES;2021
BEBETSOS_E(2003)97:1203;7607;Bebetsos, E; Athletes' satisfaction among team handball players in Greece;PERCEPT MOTOR SKILL;2003
BORGGREF_C(2018)15:250;7670;Borggrefe, C; The social selectivity of certain sports with regard to German migrants theoretical reflections using handball as an example;EUR J SPORT SOC;2018
BUBALO_K(2017):339;7760;Bubalo, K; DIFFERENCES IN ATTACK SITUATIONAL ACTIVITY INDICATORS BETWEEN TEAMS IN CROATIAN HANDBALL WOMAN LEAGUE;*****;2017
MICHALSI_L(2021)11:app11146551;7818;Michalsik, LB; The Team Handball Game-Based Performance Test Is Better than the Yo-Yo Intermittent Recovery Test to Measure Match-Related Activities in Female Adult Top-Elite Field Team Handball Players;APPL SCI-BASEL;2021
CAMACHO-_M(2019)14:S1346;7928;Camacho-Cardenosa, M; Evaluation of coordinated motor ability in handball players;J HUM SPORT EXERC;2019
MENEZES_R(2017)13:183;7981;Menezes, RP; INFLUENCE OF NORMATIVE INSTITUTIONS OF HANDBALL FOR COACHES' LEARNING: STANDPOINT OF SAO PAULO STATE COACHES;E-BALONMANO COM;2017
PRZEDNOW_K(2019)16:ijerph16111909;8043;Przednowek, K; Psychomotor Abilities of Professional Handball Players;INT J ENV RES PUB HE;2019
SCHWESIG_R(2016)30:476;8159;Schwesig, R; VALIDITY AND RELIABILITY OF THE NEW HANDBALL-SPECIFIC COMPLEX TEST;J STRENGTH COND RES;2016
GEORGESC_A(2018):99;8265;Georgescu, A; Evolution of Anthropometric Indices in Handball Selection;*****;2018
VANDEN_T(2011)27:252;8330;VANDEN, T; A Comparison of Kinematics Between Overarm Throwing With 20% Underweight, Regular, and 20% Overweight Balls;J APPL BIOMECH;2011
VARZARU_C(2018)36:271;8397;Varzaru, CG; MIGRATION OF MEN ATHLETES TO THE ROMANIAN HANDBALL LEAGUE;EUR PROC SOC BEHAV;2018
DINDAR_M(2021)25:1499;8459;Dindar, MD; HEALTH ANXIETY LEVELS AND ORGANIZATIONAL COMMITMENT STATUS OF HANDBALL PLAYERS TO THEIR TEAMS DURING COVID-19 PANDEMIC;REV LINE POLIT GEST;2021
HANTAU_C(2015):277;8520;Hantau, C; Correlation between the Maximum Instantaneous Anaerobic Power (MIAP) and the Speed in the Handball Players;*****;2015
RISE_I(2001)11:247;8574;Rise, IR; Is the ulnar nerve damaged in 'handball goalie's elbow?;SCAND J MED SCI SPOR;2001
ANDERSSO_S(2018)28:1837;8637;Andersson, SH; Video analysis of acute injuries and referee decisions during the 24th Men's Handball World Championship 2015 in Qatar;SCAND J MED SCI SPOR;2018
VULETA_D(2017):432;8748;Vuleta, D; DIFFERENCES BETWEEN WINNING AND DEFEATED HANDBALL TEAMS IN COMPETITION PERFORMANCE INDICATORS;*****;2017
SRHOJ_V(2002)26:211;8807;Srhoj, V; Situational efficacy of anthropomotor types of young female handball players;COLLEGIUM ANTROPOL;2002
NAVEED_Q(2020)7:126;8863;Naveed, Q; ANTHROPOMETRIC, PHYSICAL FITNESS AND KINEMATICS ANALYSIS OF THE JUMP SHOT OF FEMALE HANDBALL PLAYERS - A CASE STUDY OF THE ISLAMIA UNIVERSITY BAHAWALPUR, PAKISTAN;INT J PHYSIOTHER;2020
GROLL_A(2020)6:187;8939;Groll, A; Prediction of the 2019 IHF World Men's Handball Championship - A sparse Gaussian approximation model;J SPORT ANAL;2020
LEONARDO_L(2018)24:875;9005;Leonardo, L; YOUTH SPORTS COMPETITIONS EVALUATION: DEFINITION OF CATEGORIES AND APPLICATIONS TO HANDBALL;MOVIMENTO-PORTO ALEG;2018
ATALAY_E(2018)14:954;9078;Atalay, ES; Are the functional movement analysis scores of handball players related to athletic parameters?;J EXERC REHABIL;2018
HANSEN_C(2017)34:393;9161;Hansen, C; Performance analysis of male handball goalkeepers at the World Handball championship 2015;BIOL SPORT;2017
AVRAMOV_E(2020)92:312;9252;Avramov, E;" ANALYSIS OF DISTANCE HANDBALL EDUCATION IN STUDENTS FROM THE NATIONAL SPORTS ACADEMY ""VASIL LEVSKI""";PEDAGOGIKA;2020
ORTEGA-B_M(2020)52:232;9304;Ortega-Becerra, M; SEX AND STANDARD LEVELS DIFFERENCES IN ANTHROPOMETRIC AND PHYSICAL FITNESS CHARACTERISTICS IN YOUTH HANDBALL PLAYERS;KINESIOLOGY;2020
PENICHET_A(2019):83;9393;Penichet-Tomas, A; Incidence of injury in elite Spanish beach handball players;RETOS-NUEV TEND EDUC;2019
VARZARU_C(2015):781;9477;Varzaru, CG; QUALITATIVE TREND ANALYSIS OF MVM EHF FINAL FOUR FOR WOMEN;INT MULTIDDISCIP SCI;2015
BJELICA_D(2017)11:67;9531;Bjelica, D; DEPENDENCE OF FEMALE BALL IN HANDBALL REPULSION ON THE PRESSURE WITHIN THIS SPORT;ACTA KINESIOL;2017
SEBASTIA_S(2017):248;9591;Sebastia-Amat, S; Jump height, velocity, flexibility and anthropometric profile of handball goalkeepers in young categories;RETOS;2017
GRUIC_I(2019):251;9673;Gruic, I; Relations among Motor Abilities and Skills in Handball;*****;2019
MICHAEL_J(2005)19:151;9728;Michael, JWP; Isokinetic testing of the shoulder of handball players;SPORTVERLETZ SPORTSC;2005
HORNSTRU_T(2020)30:281;9798;Hornstrup, T; Cardiovascular and metabolic health effects of team handball training in overweight women: Impact of prior experience;SCAND J MED SCI SPOR;2020
BRAGAZZI_N(2020)17:ijerph17082663;9924;Bragazzi, NL; Resistance Training and Handball Players' Isokinetic, Isometric and Maximal Strength, Muscle Power and Throwing Ball Velocity: A Systematic Review and Meta-Analysis;INT J ENV RES PUB HE;2020
MOHAMED_H(2009)27:257;10015;Mohamed, H; Anthropometric and performance measures for the development of a talent detection and identification model in youth handball;J SPORT SCI;2009
LI_D(2011):157;10130;Li, D; The Playing Performance of the Female Goalkeepers in the Beijing Olympic Games Handball Championship;*****;2011
LANG_B(2002)18:329;10180;Lang, B; Knowledge and prevention of dental trauma in team handball in Switzerland and Germany;DENT TRAUMATOL;2002
CEZAR_H(2013)84:1591;10275;Cezar, H; Study Concerning the Conflict Prevention within the Handball Teams;PROCD SOC BEHV;2013
BON_M(2020)26:5;10328;Bon, M; SOME PSYCHOLOGICAL CHARACTERISTICS OF ELITE HANDBALL PLAYERS IN CORRELATION WITH PLAYERS' MOTOR ABILITIES;KINESIOL SLOVEN;2020
WAGNER_H(2016)30:2794;10405;Wagner, H; TESTING GAME-BASED PERFORMANCE IN TEAM-HANDBALL;J STRENGTH COND RES;2016
ALMEIDA_M(2013)13:831;10483;Almeida, M; HANDBALL GOALIE'S ELBOW SYNDROME: A SYSTEMATIC REVIEW;REV INT MED CIENC AC;2013
SARVESTA_J(2019)49:132;10557;Sarvestan, J; Relationship between anthropometric and strength variables and maximal throwing velocity in female junior handball players - a pilot study;ACTA GYMNICA;2019
MISSAWI_K(2016)19:389;10644;Missawi, K; Handball Practice Enhances Bone Mass in Specific Sites Among Prepubescent Boys;J CLIN DENSITOM;2016
MOLINA-L_J(2020)17:ijerph17072350;10738;Molina-Lopez, J; Mediation Effect of Age Category on the Relationship between Body Composition and the Physical Fitness Profile in Youth Handball Players;INT J ENV RES PUB HE;2020
KARNINCI_H(2018)63:127;10830;Karnincic, H; The Relationship Between Handball Players and Alcohol and Smoking Habits;J HUM KINET;2018
MARIN_D(2011)2011:804873;10933;Marin, DP; Cytokines and Oxidative Stress Status Following a Handball Game in Elite Male Players;OXID MED CELL LONGEV;2011
JANDRIC_S(2016)73:337;11057;Jandric, SD; Differences in postural disturbances between female adolescents handball players and nontraining peers;VOJNOSANIT PREGL;2016
REYES-CO_V(2019)11:207;11138;Reyes-Contreras, V; SIX WEEKS OF INTEGRATED MOTOR SKILLS AND DECISION-MAKING TRAINING DEVELOPS SPECIFICS MINIHANDBALL'S MOTOR COMPETENCIES;J SPORT HEALTH RES;2019
PARRINGT_L(2013)13:759;11216;Parrington, L; Game-based analysis of handballing in Australian Football;INT J PERF ANAL SPOR;2013
SAVUCU_Y(2012)6:1018;11281;Savucu, Y; Effect of long-term training on physical and hematological values in young female handball players;AFR J MICROBIOL RES;2012
WAGNER_H(2020)3:263;11362;Wagner, H; On-court game-based testing in world-class, top-elite, and elite adult female team handball players;TRANSL SPORTS MED;2020
CAVALA_M(2010)34:1355;11432;Cavala, M; Morphological, Motor and Situation-Motor Characteristics of Elite Female Handball Players According to Playing Performance and Position;COLLEGIUM ANTROPOL;2010
GEORGIAN_V(2014)117:123;11507;Georgiana, VC; Statistical Model of the Wing Players who Participated in the Women's European Handball Championship, Serbia 2012;PROCD SOC BEHV;2014
MASSUCA_L(2014)28:178;11563;Massuca, LM; ATTRIBUTES OF TOP ELITE TEAM-HANDBALL PLAYERS;J STRENGTH COND RES;2014
RONGLAN_L(2006)16:267;11665;Ronglan, LT; Neuromuscular fatigue and recovery in elite female handball players;SCAND J MED SCI SPOR;2006
LIDOR_R(1998)86:279;11723;Lidor, R; An exploratory study of perceptual-motor abilities of women: Novice and skilled players of team handball;PERCEPT MOTOR SKILL;1998
BOGDAN_A(2013):6707371;11785;Bogdan, AP; Ground reaction recordings in handball throw correlated with body compensatory movements;E-HEALTH BIOENG CONF;2013
DOSSANTO_W(2020)16:85;11838;dos Santos, WR; SPECIALIZATION OF HANDBALL PLAYERS: SPEECHES OF SCHOOL TEAM COACHES;E-BALONMANO COM;2020
MENEZES_R(2011)17:39;11911;Menezes, RP; From the game situations to the teaching of fixations in handball;MOTRIZ;2011
SOUCHON_N(2008)23:32;11967;Souchon, N; Sex of players and injuries in handball: Refereeing influence?;SCI SPORT;2008
LAGO-PEN_C(2013)13:724;12025;Lago-Penas, C; Home advantage in elite handball: the impact of the quality of opposition on team performance;INT J PERF ANAL SPOR;2013
ROCHA_J(2021)17:1039;12111;Rocha, JCC; Effects of caffeine ingestion on upper and lower limb muscle power of handball players: a double-blind, placebo-controlled, crossover study;SPORT SCI HLTH;2021
COSTA_G(2017)17:360;12190;Costa, GDT; Type of game practiced in handball according to the positions of the attackers: analysis of the Women's World Handball Championship 2015;INT J PERF ANAL SPOR;2017
FILAIRE_E(2000)21:17;12271;Filaire, E; Dehydroepiandrosterone (DHEA) rather than testosterone shows saliva androgen responses to exercise in elite female handball players;INT J SPORTS MED;2000
TUQUET_J(2021)13:su131910913;12350;Tuquet, J; Determinant Factors for Throwing in Competition in Male Elite Handball;SUSTAINABILITY-BASEL;2021
IBANEZ_A(2020)26:101908;12456;Ibanez, AP; BIBLIOMETRIC STUDY OF SCIENTIFIC PRODUCTION ON HANDBALL;MOVIMENTO-PORTO ALEG;2020
CAVALA_M(2008)32:231;12549;Cavala, M; Biomotor structures in elite female handball players according to performance;COLLEGIUM ANTROPOL;2008
BARTOLUC_S(2014):495;12619;Bartoluci, S; NATIONAL IDENTITY AND HANDBALL - IMAGE OF THE CROATIAN SOCIETY?;*****;2014
GRABARA_M(2014)27:85;12670;Grabara, M; A comparison of the posture between young female handball players and non-training peers;J BACK MUSCULOSKELET;2014
GOMES_F(2014)14:98;12761;Gomes, F; Team timeout calling in handball;INT J PERF ANAL SPOR;2014
WAGNER_H(2012)30:21;12828;Wagner, H; Skill-dependent proximal-to-distal sequence in team-handball throwing;J SPORT SCI;2012
CARLIER_Y(2009)59:30;12905;Carlier, Y; Handball;REV MUS FR-REV LOUVR;2009
BULGURCU_A(2020)22:10553;12939;Bulgurcuoglu, AN; Determination of the psychological resilience levels of handball coaches according to various variables;PROG NUTR;2020
KESILMIS_I(2020)7:20;13016;Kesilmis, I; The Effect of Using Virtual Reality Headseton Dynamic Balance and Reaction Time of Handball Players;AMBIENT SCI;2020
BALALI_M(2020)8:751;13104;Balali, M; Explaining the Conceptual Model of Factors Affecting the Brand Identity of Handball;ANN APPL SPORT SCI;2020
DICREDIC_A(2021)18:ijerph182412972;13186;Di Credico, A; Bioelectrical Impedance Vector Analysis of Young Elite Team Handball Players;INT J ENV RES PUB HE;2021
RUIZ-SAN_V(2017)13:199;13299;Ruiz-Sanchez, V; Motivational climate and fear of failure in the youthful teams of handball;E-BALONMANO COM;2017
BILGE_M(2012)35:109;13380;Bilge, M; Game Analysis of Olympic, World and European Championships in Men's Handball;J HUM KINET;2012
RUSSOMAN_T(2021)79:211;13453;Russomanno, TG; Within-Match Performance Dynamics - Momentary Strength in Handball;J HUM KINET;2021
AASHEIM_C(2018)4:bmjsem-2018-000391;13544;Aasheim, C; Prevalence and burden of overuse injuries in elite junior handball;BMJ OPEN SPORT EXERC;2018
WANG_T(2012):18;13630;Wang, TT; Analysis on the Preparation Strategies of China's Men's Handball during the 2012 Olympic Games;*****;2012
BERGMAN_L(2017)33:199;13674;Bergman, L; Prevalence of dental trauma and use of mouthguards in professional handball players;DENT TRAUMATOL;2017
SPIES_C(2018)121:746;13763;Spies, C; Handball Sports Medicine;UNFALLCHIRURG;2018
MATTHYS_S(2011)11:355;13798;Matthys, SPJ; A multidisciplinary identification model for youth handball;EUR J SPORT SCI;2011
CARDINAL_M(2017)12:908;13892;Cardinale, M; Activity Profiles and Positional Differences of Handball Players During the World Championships in Qatar 2015;INT J SPORT PHYSIOL;2017
CAMACHO-_A(2019)43:13;13971;Camacho-Cardenosa, A; ENDURANCE ASSESSMENT IN HANDBALL: A SYSTEMATIC REVIEW;EUR J HUM MOV;2019
PENNINGT_G(1967)38:247;14128;PENNINGTON, GG; MEASURE OF HANDBALL ABILITY;RES QUART;1967
GRANERO-_A(2017)8:02081;14177;Granero-Gallegos, A; Importance of the Motivational Climate in Goal, Enjoyment, and the Causes of Success in Handball Players;FRONT PSYCHOL;2017
KRAHENBU_T(2018)14:119;14303;Krahenbuhl, T; Games to teach handball: a pedagogical proposal for the sports initiation;E-BALONMANO COM;2018
RANNOU_F(2001)41:349;14383;Rannou, F; Physiological profile of handball players;J SPORT MED PHYS FIT;2001
MASHIMO_S(2021)29:475;14461;Mashimo, S; Injuries in Japanese university handball: a study among 1017 players;RES SPORTS MED;2021
