"","i","v","f","one","two","T"
"31",5343,62766,2,"A","AG","AGRESSOLOGIE"
"32",5790,63213,1,"A","AI","AIHAJ"
"33",3408,60831,1,"A","AJ","AJPHERD"
"34",3412,60835,1,"A","AJ","AJPERD"
"35",4674,62097,1,"A","AJ","AJSM"
"36",6788,64211,1,"A","AJ","AJR"
"37",2745,60168,1,"A","AL","ALIFE"
"38",4685,62108,2,"A","AL","ALGORITHMICA"
"39",5715,63138,1,"A","AL","ALOMA"
"40",5802,63225,1,"A","AL","ALLERGY"
"41",1128,58551,1,"A","AM","AMD"
"42",1418,58841,1,"A","AM","AMDEBA"
"43",30,57453,7,"A","AN","ANTHROPOLOGIST"
"44",1122,58545,2,"A","AN","ANTHROPOMETRICA"
"45",1593,59016,1,"A","AN","ANGIOLOGY"
"46",2357,59780,1,"A","AN","ANESTHESIOLOGY"
"47",3156,60579,1,"A","AN","ANTROPO"
"48",3444,60867,1,"A","AN","ANTHROPOLOGY"
"49",3880,61303,1,"A","AN","ANTHROPOLOGIE"
"50",3895,61318,1,"A","AN","ANALISI"
"51",6688,64111,1,"A","AN","ANTROPOMOTRYKA"
"52",150,57573,1,"A","AP","APAQ"
"53",857,58280,13,"A","AP","APUNTS"
"54",1738,59161,0,"A","AP","APERTURE"
"55",2493,59916,1,"A","AP","APES"
"56",2575,59998,8,"A","AP","APPETITE"
"57",4039,61462,2,"A","AP","APMIS"
"58",80,57503,496,"A","AR","ARTHROSCOPY"
"59",615,58038,1,"A","AR","ARRANCADA"
"60",1742,59165,0,"A","AR","ARCHITECTURE"
"61",2792,60215,1,"A","AR","ARTERIOSCLEROSIS"
"62",3806,61229,6,"A","AR","ARZNEIMITTEL-FORSCH"
"63",4087,61510,5,"A","AR","ARTHROSKOPIE"
"64",5358,62781,1,"A","AR","ARTHROSCOPIE"
"65",5420,62843,1,"A","AR","ARBOR"
"66",6198,63621,1,"A","AR","ARXIV171202224"
"67",14,57437,2,"A","AT","ATABESBD"
"68",2448,59871,9,"A","AT","ATHEROSCLEROSIS"
"69",4616,62039,1,"A","AU","AUTISM"
"70",647,58070,14,"A","AV","AVANTE"
"71",6055,63478,1,"A2AVASBS","AV20ADVIANSIBASU","AVSS 2005: ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE"
"72",1862,59285,1,"A6SNIP","AC6SNAINPS","ACT 6 S NAC INV PSIC"
"73",3727,61150,1,"A8","AV8","AVANTE 8"
"74",3985,61408,3,"AA","ACAN","ACTA ANAT"
"75",1636,59059,4,"AA","AGAG","AGE AGEING"
"76",5546,62969,1,"AA","ALAL","ALCOHOL ALCOHOLISM"
"77",6355,63778,1,"AA","ALAP","ALGORITHMIC APPROACH"
"78",1896,59319,16,"AA","AMAC","AMINO ACIDS"
"79",6663,64086,1,"AA","AMAN","AM ANTHROPOL"
"80",4726,62149,1,"AA","ANAL","ANN ALLERGY"
"81",132,57555,13,"AA","ANAN","ANTHROPOL ANZ"
"82",2853,60276,3,"AA","ANAN","ANESTH ANALG"
"83",6372,63795,1,"AA","ANAN","ANTHROPOLOGISCHER ANZEIGER"
"84",4312,61735,3,"AA","ATAD","ATHLETIC ADM"
"85",1119,58542,6,"AA","AUAB","AULA ABIERTA"
"86",1129,58552,3,"AAA","ARANAN","ARQUIVOS ANATOMIA AN"
"87",6102,63525,1,"AAAPS","ANAMACPOSS","ANN AM ACAD POLIT SS"
"88",2447,59870,0,"AABC","ANACBRCI","AN ACAD BRAS CIENC"
"89",6303,63726,1,"AAC","AMALCL","AM ALPINE CLUB"
"90",440,57863,1,"AAE","AEADEC","AEBMR ADV ECON"
"91",274,57697,1,"AAECB","ADANEMCEBI","ADV ANAT EMBRYOL CELL BIOL"
"92",933,58356,4,"AAEM","ANAGENME","ANN AGR ENV MED"
"93",2209,59632,1,"AAGIE","ARANGIIEM","ARKHIV ANATOMII GISTOLOGII I EMBRIOLOGII"
"94",5766,63189,1,"AAHL","ACAUHLLI","ACHPER AUST HLTH LIF"
"95",3920,61343,2,"AAJ","ACATJ","ACAD ATHLETIC J"
"96",6410,63833,1,"AALS","AIAPLIS","AILA APPL LINGUIST S"
"97",6526,63949,1,"AAM","ANAGME","ANTI-CANCER AGENT ME"
"98",302,57725,1,"AAM","AUAGMU","AUTON AGENT MULTI-AG"
"99",4924,62347,8,"AAMS","ANACMESI","ANN ACAD MED SINGAP"
"100",3566,60989,1,"AAO","ACACOL","ACTA ACAD OLYMPIQUE"
"101",4009,61432,2,"AAOMS","ANACOFMESI","ANNALS ACADEMY OF MEDICINE SINGAPORE"
"102",5530,62953,1,"AAOS","AMACORSU","AM ACAD ORTHOP SURG"
"103",3661,61084,8,"AAP","ACANPR","ACCIDENT ANAL PREV"
"104",3605,61028,1,"AAP","AMACPE","AM ACAD PE"
"105",3992,61415,1,"AAP","AMACPH","AM ACADEMY PHYSICAL"
"106",5256,62679,1,"AAPS","ARANPHS","ARCH ANATOMIE PHYS S"
"107",6311,63734,1,"AAS","ANAKSO","ANADOLU AKADEMI SOSY"
"108",4686,62109,1,"AAS","ANAPST","ANN APPL STAT"
"109",5303,62726,1,"AASR","ADAPSCRE","ADV APPL SCI RES"
"110",427,57850,5,"AASS","ANAPSPSC","ANN APPL SPORT SCI"
"111",808,58231,11,"AB","ADBE","ADDICT BEHAV"
"112",3282,60705,0,"AB","ADBE","ADAPT BEHAV"
"113",1365,58788,15,"AB","AGBE","AGGRESSIVE BEHAV"
"114",1731,59154,1,"AB","ANBE","ANIM BEHAV"
"115",3473,60896,1,"AB","ANBE","ANAL BEAUTY"
"116",830,58253,21,"AB","ANBI","ANAL BIOCHEM"
"117",1376,58799,4,"AB","ARBA","AREA BALONMANO"
"118",3384,60807,1,"AB","ARBR","ARQUIVOS BRASILEIROS"
"119",164,57587,36,"AB","ARBU","ARCH BUDO"
"120",805,58228,21,"ABB","ACBIBI","ACTA BIOENG BIOMECH"
"121",5745,63168,1,"ABB","APBIBI","APPL BIONICS BIOMECH"
"122",4276,61699,1,"ABB","ARBEBR","ARCH BERLIN BRANDENB"
"123",837,58260,5,"ABB","ARBIBI","ARCH BIOCHEM BIOPHYS"
"124",4359,61782,2,"ABC","ANBICH","ANAL BIOANAL CHEM"
"125",2639,60062,2,"ABC","ARBRCA","ARQ. BRAS. CARDIOL."
"126",5427,62850,2,"ABC","ARBRCA","ARQ BRAS CARDIOL"
"127",6390,63813,1,"ABD","ADBIDE","ADLI BILIMLER DERGIS"
"128",2175,59598,2,"ABD","ANBRDE","AN BRAS DERMATOL"
"129",1707,59130,50,"ABE","ANBIEN","ANN BIOMED ENG"
"130",5873,63296,1,"ABE","ARBREN","ARQ BRAS ENDOCRINOL"
"131",2259,59682,2,"ABEM","ARBRENME","ARQ BRAS ENDOCRINOL METAB"
"132",5968,63391,1,"ABH","ACBIHU","ACTA BIOL HUNG"
"133",1276,58699,1,"ABI","ACBIIN","ACTA BIOOPTICA INFOR"
"134",3273,60696,1,"ABIM","ACBIINME","ACTA BIOOPT INF MED"
"135",4235,61658,1,"ABIM","ACBIINME","ACT BIOOPT INF MED"
"136",4057,61480,8,"ABM","ANBEME","ANN BEHAV MED"
"137",6581,64004,1,"ABMP","ACBEMEPH","ACTA BELG MED PHYS"
"138",5007,62430,1,"ABP","ACBIPO","ACTA BIOCHIM POL"
"139",5398,62821,2,"ABR","ADBERE","ADDICT BEHAV REP"
"140",5515,62938,1,"ABR","ADBIRE","ADV BIOMED RES"
"141",2994,60417,2,"ABR","ANBIRE","ANN BIOL RES"
"142",341,57764,2,"ABRT","ADBERETH","ADV BEHAV RES THER"
"143",3132,60555,1,"ABS","ACBISE","ACTA BIOL SEGEDIENSI"
"144",4378,61801,2,"ABS","AMBESC","AM BEHAV SCI"
"145",565,57988,19,"ABSM","ARBUSCMA","ARCH BUDO SCI MARTIA"
"146",2314,59737,1,"ABY","ANBIYA","ANTRENMAN BILIMI YAK"
"147",1755,59178,4,"AC","ACCA","ACTA CARDIOL"
"148",2047,59470,1,"AC","ACCY","ACTA CYBERN"
"149",1589,59012,1,"AC","ADCA","ADV CARDIOL"
"150",2100,59523,2,"AC","AGCE","AGING CELL"
"151",1674,59097,2,"AC","ANCH","ANAL CHEM"
"152",4632,62055,1,"AC","ANCH","ANN CHIR"
"153",3005,60428,2,"ACA","ANCAAN","ANN CARDIOL ANGEIOL"
"154",3648,61071,1,"ACA","ANCHAC","ANAL CHIM ACTA"
"155",2344,59767,3,"ACB","ANCLBI","ANN CLIN BIOCHEM"
"156",4824,62247,1,"ACC","ACCLCR","ACTA CLIN CROAT"
"157",3588,61011,2,"ACC","ADCLCH","ADV CLIN CHEM"
"158",1132,58555,1,"ACD","ARCADI","ARCH CARDIOVASC DIS"
"159",6761,64184,1,"ACDB","ADCHDEBE","ADV CHILD DEV BEHAV"
"160",1297,58720,1,"ACEM","ADCLEXME","ADV CLIN EXP MED"
"161",739,58162,8,"ACER","AGCLEXRE","AGING CLIN EXP RES"
"162",817,58240,3,"ACER","ALCLEXRE","ALCOHOL CLIN EXP RES"
"163",4453,61876,4,"ACGF","ANCHGYFE","ANN CHIR GYNAECOL FE"
"164",6292,63715,1,"ACHP","ANCLHLPS","ANNUARY CLIN HLTH PS"
"165",3496,60919,2,"ACHP","AUCOHLP","AUSTR COUNCIL HLTH P"
"166",2252,59675,1,"ACI","ACCHIU","ACTA CHIR IUGOSL"
"167",6668,64091,1,"ACLS","ANCLLASC","ANN CLIN LAB SCI"
"168",2672,60095,5,"ACN","ARCLNE","ARCH CLIN NEUROPSYCH"
"169",6022,63445,1,"ACO","AUCHOS","AUSTRALAS CHIROPR OS"
"170",1483,58906,2,"ACOTC","ACCHORTRCE","ACTA CHIR ORTHOP TRAUMATOL CECH"
"171",4992,62415,1,"ACP","ACCOPS","ACTA COLOMB PSICOL"
"172",4246,61669,2,"ACP","ADCOPS","ADV COGN PSYCHOL"
"173",5249,62672,0,"ACP","AICOPR","AIP CONF PROC"
"174",6433,63856,1,"ACP","ANCLPS","ANN CLIN PSYCHIATRY"
"175",3950,61373,1,"ACP","ANCOPR","ANAL COACHING PROCES"
"176",487,57910,55,"ACP","APCOPS","APPL COGNITIVE PSYCH"
"177",4464,61887,1,"ACR","ADCORE","ADV CONSUM RES"
"178",1995,59418,2,"ACR","ANCLRE","ANN CLIN RES"
"179",2645,60068,8,"ACR","ARCARE","ARTHRIT CARE RES"
"180",6831,64254,1,"ACR","ARCARE","ARTHRITIS CARE RES"
"181",211,57634,4,"ACS","ACCHSC","ACTA CHIR SCAND"
"182",4460,61883,3,"ACS","ACCOSU","ACM COMPUT SURV"
"183",6377,63800,1,"ACS","ADCOSC","ADV COMPUTER SCI"
"184",2251,59674,2,"ACS€€€S","ACCHSCS","ACTA CHIR SCAND    S"
"185",5627,63050,1,"ACSS","ACCHSCS5","ACTA CHIR SCAND S53"
"186",5143,62566,1,"ACT","AMCOTH","AM CORRECTIVE THERAP"
"187",4610,62033,1,"ACT","ANCUTR","ANXIETY CURRENT TREN"
"188",1984,59407,1,"ACTJ","AMCOTHJ","AM CORR THER J"
"189",2930,60353,2,"ACTJ","AMCOTHJ","AM CORRECT THER J"
"190",6192,63615,1,"ACUT","ACCOUTA","ACTA COMMENT U TART"
"191",2832,60255,1,"AD","ACDE","ACTAS DERMO-SIFILOGR"
"192",5444,62867,1,"AD","ACDE","ACTA DERM-VENEREOL"
"193",2789,60212,8,"AD","ACDI","ACTA DIABETOL"
"194",4640,62063,1,"AD","ADDE","ADULT DEV"
"195",2819,60242,1,"AD","AFDI","AFR DIASPORA"
"196",2502,59925,1,"AD","ANDE","ANTICIPATION DECISIO"
"197",2836,60259,4,"AD","ARDE","ARCH DERMATOL"
"198",2800,60223,2,"ADB","ARDEBA","AREA DE BALONMANO"
"199",6267,63690,1,"ADC","ACDECR","ACTA DERMATOVENER CR"
"200",2028,59451,44,"ADC","ARDICH","ARCH DIS CHILD"
"201",6666,64089,1,"ADC","ARDICH","ARCH DIS CHILD-FETAL"
"202",4400,61823,2,"ADCDLM","ANDECHDELAMA","ANNALES DE CHIRURGIE DE LA MAIN"
"203",4266,61689,1,"ADCDLMEDMS","ANDECHDELAMAETDUMESU","ANNALES DE CHIRURGIE DE LA MAIN ET DU MEMBRE SUPERIEUR"
"204",1611,59034,1,"ADCDSDU","ARDECIDASADAUN","ARQUIVOS DE CIENCIAS DA SAUDE DA UNIPAR"
"205",1735,59158,4,"ADDJU","ANDUDEJOU","ANN DUNAREA DE JOS U"
"206",3868,61291,1,"ADHR","ADDEHURE","ADV DEV HUM RESOUR"
"207",2556,59979,1,"ADIDCDM","ARDEINDECADEME","ARCHIVOS DEL INSTITUTO DE CARDIOLOGIA DE MEXICO"
"208",1022,58445,13,"ADJ","AUDEJ","AUST DENT J"
"209",3037,60460,1,"ADJUG","ANDUJOUGA","ANN DUNAREA JOS U GA"
"210",5065,62488,1,"ADK","ANDEKI","ANNALES DE KINESITHERAPIE"
"211",2169,59592,1,"ADMPEDMDT","ARDEMAPRETDEMEDUTR","ARCHIVES DES MALADIES PROFESSIONNELLES ET DE MEDECINE DU TRAVAIL"
"212",6654,64077,1,"ADR","ADDERE","ADV DENT RES"
"213",4080,61503,1,"ADR","ARDERE","ARCH DERMATOL RES"
"214",1799,59222,14,"ADREDMP","ANDEREETDEMEPH","ANNALES DE READAPTATION ET DE MEDECINE PHYSIQUE"
"215",3309,60732,4,"AE","ACEN","ACTA ENDOCRINOL-COP"
"216",4439,61862,1,"AE","AMEC","AM ECON"
"217",4535,61958,3,"AE","ANEM","ANAT EMBRYOL"
"218",5157,62580,2,"AE","ANEN","ANN ENDOCRINOL-PARIS"
"219",1955,59378,4,"AE","ANEP","ANN EPIDEMIOL"
"220",2532,59955,6,"AE","ANES","ANSIEDAD ESTRES"
"221",1522,58945,25,"AE","APEC","APPL ECON"
"222",253,57676,14,"AE","APER","APPL ERGON"
"223",612,58035,40,"AE","APES","APUNTS-MED ESPORT"
"224",6794,64217,1,"AEEU","ASESENUR","ASOC ESP ENFERM UROL"
"225",462,57885,2,"AEF","AGEDFI","AGORA EDUCACION FISI"
"226",463,57886,73,"AEF","APEDFI","APUNTS EDUCACION FIS"
"227",2548,59971,2,"AEF","APEDFI","APUNTES EDUCACION FI"
"228",4477,61900,2,"AEF","APEDFI","APUNTS EDUCACIO FISI"
"229",1390,58813,17,"AEFD","AGEDFIDE","AGORA EDUC FIS DEPOR"
"230",1572,58995,13,"AEFD","APEDFIDE","APUNT EDUC FIS DEPOR"
"231",2547,59970,6,"AEFD","APEDFIDE","APUNTS ED FISICA DEP"
"232",3097,60520,1,"AEFD","APEDFIDE","APUNT ED FISICA DEPO"
"233",3067,60490,1,"AEFE","APEDFIES","APUNTS ED FISICA ESP"
"234",921,58344,3,"AEFSD","APEDFSIDE","APUNT ED F SICA DEPO"
"235",1107,58530,1,"AEH","ARENHE","ARCH ENVIRON HEALTH"
"236",3809,61232,2,"AEHE","ASEVHIED","ASSESS EVAL HIGH EDU"
"237",4442,61865,1,"AEJ","ATECJ","ATLANTIC ECON J"
"238",6147,63570,1,"AEJ","ATECJ","ATL EC J"
"239",780,58203,3,"AEJ","AUENJ","AUST ENDOD J"
"240",1319,58742,17,"AEL","APECLE","APPL ECON LETT"
"241",4015,61438,10,"AEM","ACEMME","ACAD EMERG MED"
"242",3772,61195,6,"AEM","ANEMME","ANN EMERG MED"
"243",5460,62883,1,"AEM","APENMI","APPL ENVIRON MICROB"
"244",1649,59072,1,"AEM","AREMME","ARCH EMERG MED"
"245",1634,59057,11,"AEMB","ADEXMEBI","ADV EXP MED BIOL"
"246",6849,64272,1,"AEMBM","ADEXMEBIMU","ADV EXPT MED BIOL MU"
"247",3693,61116,1,"AEP","ACESPS","ACTAS ESP PSIQUIATRI"
"248",2954,60377,2,"AEP","ANESPE","AN ESP PEDIATR"
"249",5170,62593,1,"AEPR","ASECPOR","ASIAN ECON POLICY R"
"250",5706,63129,1,"AEQ","ADEDQU","ADULT EDUC QUART"
"251",1232,58655,15,"AER","AMECRE","AM ECON REV"
"252",6601,64024,1,"AER","AUEDRE","AUST EDUC RES"
"253",2695,60118,12,"AERJ","AMEDREJ","AM EDUC RES J"
"254",5832,63255,1,"AES","ADEXSP","ADV EXERCISE SPORTS"
"255",2657,60080,29,"AESP","ADEXSOPS","ADV EXP SOC PSYCHOL"
"256",3019,60442,2,"AESP","ADEXSOPS","ADV EXPT SOCIAL PSYC"
"257",1816,59239,1,"AESP","ADEXSPPH","ADV EXERC SPORTS PHY"
"258",2088,59511,1,"AESS","ASEXSPSC","ASIAN EXERC SPORT SC"
"259",945,58368,28,"AESW","ADENSOWO","ADV ENG SOFTW WORKST"
"260",4258,61681,1,"AEU","ARESUR","ARCH ESP UROL"
"261",3538,60961,1,"AEUKE","AHEVUKRE","AHI EVRAN U KREHIR E"
"262",2762,60185,1,"AF","AMFE","AM FENCING"
"263",1516,58939,2,"AFA","ADFIAS","ADV FITNESS ASSESSME"
"264",3216,60639,1,"AFA","ANFRAN","ANN FR ANESTH"
"265",2033,59456,1,"AFEPUC","ACFAEDPHUC","ACTA FAC ED PHYS U C"
"266",2206,59629,2,"AFM","ARFAME","ARCH FAM MED"
"267",6276,63699,1,"AFMF","ACFAMEFL","ACTA FAC MED FLUM"
"268",334,57757,3,"AFMN","ACFAMENA","ACTA FAC MEDICAE NAI"
"269",94,57517,21,"AFP","AMFAPH","AM FAM PHYSICIAN"
"270",5086,62509,1,"AFP","AUFAPH","AUST FAM PHYSICIAN"
"271",19,57442,1,"AFPS","ARFAPLSU","ARCH FACIAL PLAST SURG"
"272",386,57809,1,"AFRNU","ACFARENAU","ACTA FAC RERUM NAT U"
"273",792,58215,25,"AG","ACGY","ACTA GYMNICA"
"274",3303,60726,1,"AG","ANGE","ANIM GENET"
"275",2860,60283,3,"AG","AUGE","AUST GEOGR"
"276",1708,59131,6,"AGG","ARGEGE","ARCH GERONTOL GERIAT"
"277",4005,61428,1,"AGP","ADGRPR","ADV GROUP PROCESSES"
"278",6648,64071,1,"AGP","ARGEPS","ARCH GEN PSYCHIAT"
"279",2218,59641,1,"AGS","ACGESL","ACTA GEOGR SLOV"
"280",1183,58606,2,"AH","ACHA","ACTA HAEMATOL-BASEL"
"281",6635,64058,1,"AH","AGHD","AGR HDB"
"282",238,57661,11,"AH","APHA","APPROCHES HANDBALL"
"283",2270,59693,1,"AHB","ADHUBI","ADV HUM BIOL"
"284",759,58182,37,"AHB","ANHUBI","ANN HUM BIOL"
"285",3289,60712,2,"AHBA","APHDBEAN","APA HDB BEHAV ANAL"
"286",3580,61003,1,"AHD","ANHEDI","ANTIOX HEALTH DIS"
"287",5405,62828,3,"AHEH","ADHEECHE","ADV HEALTH ECON HEAL"
"288",6691,64114,1,"AHES","ARHIEXSC","ARCH HIST EXACT SCI"
"289",2020,59443,4,"AHFJ","ACHEFIJ","ACSMS HEALTH FIT J"
"290",1288,58711,14,"AHJ","AMHEJ","AM HEART J"
"291",3968,61391,6,"AHLJ","ACHELIJO","ACHPER HEALTHY LIFESTYLES JOURNAL"
"292",2264,59687,1,"AHP","APHDPS","APA HDB PSYCHOL"
"293",3359,60782,1,"AHPER","ASHLPHEDRE","ASS HLTH PHYS ED REC"
"294",2071,59494,5,"AHS","AFHESC","AFR HEALTH SCI"
"295",1826,59249,1,"AHS","AUHIST","AUST HISTORICAL STUD"
"296",5761,63184,1,"AHSE","APHDSPEX","APA HDB SPORT EXERCI"
"297",1933,59356,0,"AHSR","ADHLSCRE","ADV HLTH SCI RES"
"298",2247,59670,4,"AI","ARIN","ARTIF INTELL"
"299",722,58145,9,"AI","ATIN","ATHLETIC INSIGHT"
"300",940,58363,3,"AI","ATIN","ATHL INSIGHT"
"301",1158,58581,3,"AI","ATIN","ATHLETIC INSIGH"
"302",4148,61571,2,"AIB","ARITBI","ARCH ITAL BIOL"
"303",6213,63636,1,"AIC","ANINCO","ANN INT COMMUNICATIO"
"304",6264,63687,1,"AICIE","ANINCIEEM","ANN INT C IEEE EMBS"
"305",5625,63048,1,"AICL","AAINCOLE","AAOS INSTR COURS LEC"
"306",401,57824,2,"AIEB","ADINENBI","ADVANCES IN ENVIRONMENTAL BIOLOGY"
"307",4898,62321,1,"AIEROW","ATINETREONWO","ATHLETIC INTRUDERS: ETHNOGRAPHIC RESEARCH ON WOMEN"
"308",6487,63910,1,"AIFS","AUIFAST","AUSTR I FAMILY STUDI"
"309",2368,59791,1,"AIJSS","AGINJSPSC","AGON INT J SPORT SCI"
"310",6050,63473,1,"AIKDADM1PC","ADINKNDIANDAMI18PACO","ADVANCES IN KNOWLEDGE DISCOVERY AND DATA MINING. 18TH PACIFIC-ASIA CONFERENCE"
"311",5930,63353,1,"AIM","ALINME","ALTERN INTEGR MED"
"312",1588,59011,45,"AIM","ANINME","ANN INTERN MED"
"313",623,58046,107,"AIM","ARINME","ARCH INTERN MED"
"314",3642,61065,3,"AIO","ATINON","ATHLETIC INSIGHT ONL"
"315",349,57772,3,"AIOJ","ATINONJ","ATHL INSIDE ONLINE J"
"316",914,58337,9,"AIPB","ARINPHBI","ARCH INT PHYSIOL BIO"
"317",3021,60444,2,"AIPE","ADINPHED","ADVANCES IN PHYSICAL EDUCATION"
"318",5159,62582,1,"AIR","ARINRE","ARTIF INTELL REV"
"319",3420,60843,1,"AIS","ADINST","ADV INT ST"
"320",3921,61344,4,"AIS","ADINSY","ADV INTELL SYST"
"321",4425,61848,1,"AIS","AUINSP","AUSTR INSIDE SPORT"
"322",4513,61936,0,"AISC","ADINSOCO","ADV INTEL SOFT COMPU"
"323",3658,61081,1,"AISC","ADINSYCO","ADV INTELL SYST COMP"
"324",520,57943,1,"AISS","ANISUSA","ANN I SUPER SANITA"
"325",3163,60586,1,"AITE","ARIMTHEX","ARCH IMMUNOL THER EX"
"326",942,58365,2,"AITOJOSP","ATINTHONJOOFSPPS","ATHLETIC INSIGHT: THE ONLINE JOURNAL OF SPORT PSYCHOLOGY"
"327",2146,59569,1,"AIVCP7IS","ADINVICOPR7TINSY","ADVANCES IN VISUAL COMPUTING. PROCEEDINGS 7TH INTERNATIONAL SYMPOSIUM"
"328",5275,62698,1,"AJ","AGJ","AGRON J"
"329",1543,58966,4,"AJ","ATJ","ATHLETIC J"
"330",2648,60071,1,"AJ","ATJ","ATHL J"
"331",6435,63858,1,"AJA","AMJAD","AM J ADDICTION"
"332",3493,60916,7,"AJA","AMJAN","AM J ANAT"
"333",5435,62858,1,"AJA","ASJAN","ASIAN J ANDROL"
"334",4753,62176,1,"AJA","AUJAG","AUSTRALAS J AGEING"
"335",1238,58661,3,"AJAE","AMJAGEC","AM J AGR ECON"
"336",3485,60908,1,"AJAN","AUJADNU","AUST J ADV NURS"
"337",4825,62248,1,"AJAS","ALJAGSC","ALINTERI J AGRIC SCI"
"338",3226,60649,1,"AJBA","ASJBUAD","ASIA-PAC J BUS ADM"
"339",1884,59307,1,"AJBAS","AUJBAAPSC","AUST J BASIC APPL SC"
"340",754,58177,47,"AJC","AMJCA","AM J CARDIOL"
"341",6701,64124,1,"AJC","ANJCA","ANATOL J CARDIOL"
"342",3356,60779,1,"AJC","AUJCO","AUSTR J COMMUNICATIO"
"343",3720,61143,1,"AJCE","ASJCHEN","ASIA-PAC J CHEM ENG"
"344",745,58168,113,"AJCN","AMJCLNU","AM J CLIN NUTR"
"345",877,58300,4,"AJCP","AMJCLPA","AM J CLIN PATHOL"
"346",2067,59490,2,"AJCP","AMJCOPS","AM J COMMUN PSYCHOL"
"347",5447,62870,2,"AJD","AUJDE","AUSTRALAS J DERMATOL"
"348",1684,59107,1,"AJDAA","AMJDRALAB","AM J DRUG ALCOHOL AB"
"349",2577,60000,10,"AJDC","AMJDICH","AM J DIS CHILD"
"350",734,58157,1,"AJDE","AMJDIED","AM J DISTANCE EDUC"
"351",3149,60572,1,"AJE","AMJEL","AM J ELECTROMED"
"352",1445,58868,34,"AJE","AMJEP","AM J EPIDEMIOL"
"353",4541,61964,1,"AJE","AMJEV","AM J EVAL"
"354",4804,62227,2,"AJEM","AMJEMME","AM J EMERG MED"
"355",4441,61864,1,"AJES","AMJECSO","AM J ECON SOCIOL"
"356",473,57896,8,"AJES","ASJEXSP","ASIAN J EXERC SPORT"
"357",723,58146,2,"AJES","ASJEXSP","ASIAN J EXERCISE SPO"
"358",6785,64208,1,"AJESAJES","ASJEXSPASJEXSP","ASIAN J EXERC SPORT ASIAN J EXERC SPORT"
"359",5344,62767,3,"AJET","ASJEDTR","ASIAN J ED TRAINING"
"360",6388,63811,1,"AJFMP","AMJFOMEPA","AM J FOREN MED PATH"
"361",3886,61309,1,"AJG","AMJGA","AM J GASTROENTEROL"
